anchor,entailment,contradiction
"建立存款保险制度,健全金融机构风险处置机制",存款保险制度需要建立,金融机构风险处置机制不存在
"强化社会治安综合治理,开展扫黑除恶专项斗争,依法打击各类违法犯罪,平安中国建设取得新进展",违法犯罪事项需要得到打击,各类违法犯罪行为不需要打击
"您瞧,您穿上这黑西装也是领导人风范,这是普京",穿上西装能显示领导人风范,"您瞧,这是奥巴马,不是普京"
"我上北京肿瘤研究所,找一个.",我上北京,我不要去北京
"我们强调扩大内需,绝不能放松出口",内需需要扩大,内需不需要扩大
"我妈妈,嗯,至少还得有半个月吧.",时间是至少半个月,我妈妈连一天时间都没有
"我就寄到你,你那个上次来信的地址.",你上次的来信有一个地址,我不会寄东西给你
我我就是说教明明写中文.,我进行了说教,我不认识明明
"我深知,一旦人被某种情绪所支配,那么他将失去公正的判别力",人有可能会失去公正的判别力,人会永远拥有公正的判别力
提高居民基本医保补助标准和大病保险报销比例,医保补助是有标准的,大病不能保险报销
"改革也和事物发展的辩证形式一样,呈波浪式前进和螺旋式上升的运动态势",改革是辩证的,改革是环境下沉的标志
是得修练修练才行的啦.,这件事是关于修炼的,你不用修练
是没有这个条件吗,难道说没有条件吗,是有这个条件的
"果然,这些图书大受欢迎,几乎每个经过这里的读者都巴不得挤上前看个究竟",读者看到了这些图书,"这些图书很冷门,不受欢迎"
"男的就嘲笑道:你去做呀,你有那本事吗",男的在嘲笑,男的没有说话
"第二天下午,三点钟时分,长脚带了一盒化妆品,去了王琦瑶家",长脚去了王琦瑶家,长脚什么也没带就去了王琦瑶家
"答:破堤命令下达后,一个基层干部抱头痛哭,说:乡亲们,我们对不起你们啦",基层干部觉得自己对不起乡亲,基层干部非常开心地笑了
美国世界警察话语权强势 西方对俄罗斯存偏见由来已久,"作为世界警察,美国有很强的话语权",美国在全球没有一点话语权
"老头挺有风趣,我便和他聊了起来",我和老头聊天了,我从没遇到过老头
谁知保姆一点不买账,这件事关于保姆,保姆说她对于这事买账
"这是初识李主任的时候,李主任带她到老凤祥银楼买的,也可算得上是一只婚戒",她和李主任到过老凤祥银楼,她不认识李主任
"那家人就是说,不是绳子拴着吗",那家人说绳子是拴着的,绳子是不存在的
"那时大家都讲奋斗,一股子开天辟地的劲头",大家的劲头像开天辟地一样,"大家从来没有想过奋斗,每天只想混日子"
"阿二有些悲伤地垂了垂眼睛,小声道:是啊,我凭什么叫人永记不忘呢",阿二神情悲伤,"阿二说,我一定会让人永记不忘的"
"除此之外,双方在有关海湾战后和平安排的问题上也存在某些差别",双方在问题的处理上存在差异,海湾没有战后和平安排的问题
"下决心砸了不合格产品,只能说明企业杜绝劣质产品的勇气",企业杜绝劣质产品,企业包容劣质产品
"中国一贯奉行独立自主的和平外交政策,支持世界人民的正义事业,反对霸权主义,维护世界和平,促进共同发展",我国奉行的外交政策是和平的,我国的外交水平很低
"二尺一,又二尺一二尺就可以了.",要多少尺已经知道了,五十尺才可以
"人多嘴杂,议论纷纷之中,是是非非,真真假假纷呈,真知灼见与谬误荒唐俱在",人们说的东西有真有假,人们说的东西全是假的
"你看这个女博士她是一个赤子之心,她真急了,上来就揍","有人惹到这个女博士,她就会报复",这个女博士性情很平和
"你知道我们中国对待、看待人物,其实是有三种,一种叫自己人,邓稼先这种就叫自己人",“自己人”是其中一种看待方法,“自己人”不是好的分类
"你要装煤,人家也是不给你.",别人不给装煤,你不想装煤
"其实故宫在建造上并不是合中国的制式,你像营造法式、像壁画出土的唐代的宫殿还是不同,原因就是清朝的影响",清朝的建筑风格不是中国建筑风格的主流,故宫符合中国的范式
"加强国防建设,对捍卫我国的民族利益和国家安全,有着十分重要的意义",加强国防建设有重要意义,加强国防建设没有意义
"加快开发应用节能环保技术和产品,把节能环保产业打造成生机勃勃的朝阳产业",以前的方案不够高效,讲话者不会加快开发新产品
"南京邮电学院,要么,外室那个什么.",南京邮电学院存在,南京邮电学院没有外室
"反正很好,很漂亮,很.",讲话者认为他所讲的宾语很好、很漂亮,讲话者认为他所讲的宾语很不好、很丑
可是一切的事情都无效,有些事情并未产生积极影响,一切的事都是有效的
呃这明夫也告他也要吃得好点啊.,今天已经告诉他吃好点了,他天天都吃的很少
"喔过很短的,大概是半个小时左右.","喔过很短的,不到一个小时.","喔过很长时间的,大概要一天"
"嗷,是随身携带,嗷,好的好的.",有人告诉讲话者随身携带什么东西,讲话者没听懂并且不会照做
"因让他找医院,他也肯定找不出什么好医院,是瞎耽误老师的时间,还不如让人家去找司长",司长能找到好医院,司长找不到好医院
"国际关系的实践表明,未来的国际政治新秩序不能不包括以下的主要内容:",讲话者会讲几点内容,讲话者接下来不会讲几点内容
"在企业改革中,工人阶级具有什么样的地位",工人阶级在企业改革中有一定地位,工人阶级在企业改革中没有地位
"好好,你们俩也算文约",讲话者同意他们两个有文约,讲话者认为他们两个之间没有文约
"小林走了,薇薇回家就很经常,有时遇到张永红也在,就好像回到了以前的时光",薇薇常回家是因为小林走了,薇薇常回家和小林没关系
"就堵,在这儿,嗯,在堵他这事儿.",讲话者意识到了有东西在阻塞事情发展,没有东西妨碍他
"就是不要怀疑,我确实是在拍马屁",讲话者在拍马屁,讲话者没在坦白
康明逊和王琦瑶还保持着稀疏却不间断的来往,康明逊和王琦瑶不常见面,康明逊和王琦瑶从来未未来往过
"当前特别要迅速采取有力措施,帮助统配煤矿摆脱经济困境,改变乡镇煤矿生产停滞和下降的不正常状况",有力措施会解决难题,这个计划不会实施
我以为重建交通路文化街是其中较为重要迫切的一步,我在为城市建设贡献想法,我认为重建交通路文化街不重要
"我国改革开放的伟大实践,对妇女素质提出了更高的要求,也培养锻炼了一批具有四有、四自精神的成功的女性",现在有很多具有四有、四自精神的成功的女性,改革开放没培养锻炼了一批具有四有、四自精神的成功的女性
我就说干菜这边儿都有卖的.,讲话者没在其他地方看到干菜,这边没有卖干菜的
我抓起电话机打给你们比较容易.,讲话者认为其他沟通方式比打电话费劲,讲话者不会打电话
"所以,讲中国的时候,人家会发生误会,现在年轻的网民搞不清楚,以为他原来是大陆去的,加入了美国",他没有加入美国,网名搞清楚了状况
"把这位同学拉进来,你们三个",有一位同学等待被拉,命令者正期待着两个同学的出现
"晚上,在圣火到达的一小时前,他们就已手持亚运会徽旗,静候在滨江路边",他们提前等待火炬到来,他们在白天等待
"泰安市的领导这么说、烟台市的领导这么说,威海市的领导也这么说",泰安、烟台、威海的领导都认同一件事,对这件事有不同的看法
"深入实施军民融合发展战略,加快国防科技创新步伐",此计划将要实施,深入实施军民融合发展战略不会加快国防科技创新步伐
炒作也有门道 是谁惯坏了流量担当“小鲜肉”,有人惯坏了“小鲜肉”,讲话者认为小鲜肉的炒作方式正确
"现在,还是以缉毒的幌子,向古巴船只挑衅",以前也有人以缉毒的幌子向古巴船只挑衅。,没人向古巴船只挑衅
"看着他手里的扳手,你就得听他讲喂马","只要他手里拿着扳手,他就会讲喂马的事",他会讲喂羊
"真要说送什么,两人又犯了愁",两个人要送别人礼物,两个人知道送什么
第二全民练习书法的这种机会太少了,讲话者在说第二点,讲话者在说第三点
第二部 五、上海,这本书已经出版两部了,上海在第六章
"继续提高优抚、低保等标准,残疾人“两项补贴”惠及所有符合条件人员",标准将会提高,标准将会降低
"自从我们聊过他几回之后,他很多年都没有来",他之前来过,我们一直都没见过他
"要坚持公共医疗卫生的公益性质,充分调动广大医务人员的积极性",政府呼吁要坚持公共医疗卫生的公益性质,坚持公共医疗卫生的公益性质不会调动广大医务人员的积极性
"过去两个人去自杀,死一个的都是那样,有一个人不坚决",有两个尝试自杀,两个人都没死
"这些成就,标志着我国综合国力又有新的提高,进一步增强了全国人民继续前进的信心和勇气",这些成就标志着我国综合国力又有新的提高,这些成就降低了人民的信心和勇气
"那面梳妆镜更是不堪,里面外面都是一个人,照了不如不照",讲话者很丑,那个梳妆镜照人比正常好看
"隋朝,我听成水草呢",讲话者把隋朝听成了水草,讲话者没意识到自己的错误
"饭不够自己添,想喝汤自己舀",要靠自己做事,饭不够、汤不够会有别人帮你满上
高等教育体制改革和结构调整的步伐加快,高等教育体制改革和结构调整的速度加快了,高等教育体制没改革和结构调整
"一时间,眼露凶光的持刀歹徒与民警对峙着,一场搏斗看来不可避免",歹徒有备而来。,歹徒一见民警就败下阵来。
三是加强农业基础设施和农村民生工程建设,加强农业基础设施和农村民生工程建设有一定可行性。,农业基础设施建设已无需完善。
中国共产党十分珍视中国革命中形成的这一宝贵的政治成果,这一政治成果是在中国革命中形成的。,这个政治成果在现今已无意义。
